Thu Feb 28 2019 12:32:59 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"three_thumb_right","center":[0.46875,0.55556]}
Thu Feb 28 2019 12:33:16 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"scissors_right","center":[0.9375,0.33333]}
Thu Feb 28 2019 12:33:24 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:33:24 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
Thu Feb 28 2019 12:33:25 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,menu
Thu Feb 28 2019 12:33:25 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,menu
Thu Feb 28 2019 12:33:27 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,camera
Thu Feb 28 2019 12:33:27 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,camera
Thu Feb 28 2019 12:33:29 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:33:29 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
Thu Feb 28 2019 12:33:30 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,menu
Thu Feb 28 2019 12:33:30 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,menu
Thu Feb 28 2019 12:33:31 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,applications
Thu Feb 28 2019 12:33:31 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,application
Thu Feb 28 2019 12:33:34 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,crypto
Thu Feb 28 2019 12:33:41 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,transportation
Thu Feb 28 2019 12:33:42 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,transportation
Thu Feb 28 2019 12:33:49 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,clock
Thu Feb 28 2019 12:33:51 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,clock
Thu Feb 28 2019 12:33:54 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,soccer
Thu Feb 28 2019 12:34:02 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:34:02 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
