1580291400159,smartmirror-ai-art-mirror,AI_ART_FPS,0
1580291400217,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.7524,0.58894],""center"":[0.39583,0.4963]},{""TrackID"":14,""name"":""diningtable"",""w_h"":[0.91346,0.28365],""center"":[0.49375,0.85556]}]}"
1580291400220,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.7524,0.58894],""center"":[0.39583,0.4963],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.24792,0.15926],""center"":[0.30417,0.31852]}}}}"
1580291400286,SmartMirror-Gesture-Recognition,GESTURE_DET_FPS,8
1580291400377,SmartMirror-Center-Display,CENTER_DISPLAY_FPS,30.01
1580291400404,SmartMirror-Facerecognition,DETECTED_FACES,"{""DETECTED_FACES"":[{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.28542,0.31111]}]}"
1580291400406,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.7524,0.58894],""center"":[0.39583,0.4963],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.28542,0.31111]}}}}"
1580291400546,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.74519,0.59375],""center"":[0.4,0.48889]},{""TrackID"":14,""name"":""diningtable"",""w_h"":[0.91346,0.28365],""center"":[0.49375,0.85556]}]}"
1580291400548,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74519,0.59375],""center"":[0.4,0.48889],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.28542,0.31111]}}}}"
1580291400808,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.20913,0.18029],""center"":[0.48889,0.43542]}]}"
1580291400880,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.59375],""center"":[0.40625,0.48889]},{""TrackID"":14,""name"":""diningtable"",""w_h"":[0.91587,0.28365],""center"":[0.49583,0.85556]}]}"
1580291400884,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.59375],""center"":[0.40625,0.48889],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.28542,0.31111]},""gestures"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.20913,0.18029],""center"":[0.48889,0.43542]}]}}}"
1580291400904,SmartMirror-Facerecognition,DETECTED_FACES,"{""DETECTED_FACES"":[{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.29792,0.31481]}]}"
1580291400906,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.59375],""center"":[0.40625,0.48889],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.29792,0.31481]},""gestures"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.20913,0.18029],""center"":[0.48889,0.43542]}]}}}"
1580291400935,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21394,0.1851],""center"":[0.48519,0.43333]}]}"
1580291401179,SmartMirror-Object-Detection,OBJECT_DET_FPS,3
1580291401184,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21154,0.18029],""center"":[0.48519,0.43542]}]}"
1580291401212,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.58654],""center"":[0.37917,0.4963]}]}"
1580291401216,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.58654],""center"":[0.37917,0.4963],""face"":{""confidence"":0.94,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25,0.15926],""center"":[0.29792,0.31481]},""gestures"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21154,0.18029],""center"":[0.48519,0.43542]}]}}}"
1580291401309,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21394,0.1851],""center"":[0.48148,0.43333]}]}"
1580291401404,SmartMirror-Facerecognition,FACE_DET_FPS,2
1580291401411,SmartMirror-Center-Display,CENTER_DISPLAY_FPS,29.99
1580291401412,SmartMirror-Gesture-Recognition,GESTURE_DET_FPS,8
1580291401443,SmartMirror-Facerecognition,DETECTED_FACES,"{""DETECTED_FACES"":[{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.31042,0.31852]}]}"
1580291401448,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74038,0.58654],""center"":[0.37917,0.4963],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.31042,0.31852]},""gestures"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21394,0.1851],""center"":[0.48148,0.43333]}]}}}"
1580291401449,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21154,0.1875],""center"":[0.48148,0.43125]}]}"
1580291401549,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.4,0.49259]}]}"
1580291401552,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.4,0.49259],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.31042,0.31852]},""gestures"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21154,0.1875],""center"":[0.48148,0.43125]}]}}}"
1580291401558,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[{""TrackID"":19,""name"":""three_left"",""w_h"":[0.21154,0.19231],""center"":[0.47778,0.43333]}]}"
1580291401683,SmartMirror-Gesture-Recognition,DETECTED_GESTURES,"{""DETECTED_GESTURES"":[]}"
1580291401880,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.40417,0.48519]}]}"
1580291401892,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.40417,0.48519],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.31042,0.31852]}}}}"
1580291401908,SmartMirror-Facerecognition,DETECTED_FACES,"{""DETECTED_FACES"":[{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.30625,0.31852]}]}"
1580291401911,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.40417,0.48519],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25833,0.16296],""center"":[0.30625,0.31852]}}}}"
1580291402162,smartmirror-ai-art-mirror,AI_ART_FPS,0
1580291402420,SmartMirror-Facerecognition,DETECTED_FACES,"{""DETECTED_FACES"":[{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25625,0.16296],""center"":[0.30417,0.32222]}]}"
1580291402422,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.74279,0.58654],""center"":[0.40417,0.48519],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25625,0.16296],""center"":[0.30417,0.32222]}}}}"
1580291402444,SmartMirror-Center-Display,CENTER_DISPLAY_FPS,30.02
1580291402514,SmartMirror-Object-Detection,OBJECT_DET_FPS,3
1580291402539,SmartMirror-Gesture-Recognition,GESTURE_DET_FPS,8
1580291402547,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.73077,0.58413],""center"":[0.38125,0.4963]}]}"
1580291402549,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.73077,0.58413],""center"":[0.38125,0.4963],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25625,0.16296],""center"":[0.30417,0.32222]}}}}"
1580291402880,SmartMirror-Object-Detection,DETECTED_OBJECTS,"{""DETECTED_OBJECTS"":[{""TrackID"":2,""name"":""person"",""w_h"":[0.72596,0.58173],""center"":[0.37083,0.5]}]}"
1580291402882,SmartMirror-Person-Recognition,RECOGNIZED_PERSONS,"{""RECOGNIZED_PERSONS"":{""2"":{""TrackID"":2,""name"":""person"",""w_h"":[0.72596,0.58173],""center"":[0.37083,0.5],""face"":{""confidence"":0.93,""TrackID"":3,""name"":""Alex"",""id"":8,""w_h"":[0.25625,0.16296],""center"":[0.30417,0.32222]}}}}"
1580291402893,SmartMirror-Facerecognition,FACE_DET_FPS,2
